class,tweet,toxic_words_found
0,"&#8220;@MikeyPDaCav5: I love the song ""John Doe"" #dope&#8221; @MirandaWigley @edenbaby101 faggots","['fag', 'faggot']"
0,&#8220;@My_Fish_Died: You dammn Weed potheads are annoying af on Twitter&#8221; weed and pot are the same thing faggot,"['fag', 'faggot', 'die']"
0,&#8220;@NiggaImTatted: Cowboys win games during the regular season but when they get to the playoffs that trash af lol&#8221; hating ass nigga,"['nigga', 'trash']"
0,"&#8220;@NoChillPaz: White kids favorite activities
1. Calling people ""niggers"" on Xbox
2.fucking their pet
3. Shooting up their school&#8221;","['fuck', 'fucking', 'nigger', 'niggers']"
0,"&#8220;@SimplyHype: @kobebryant shut the fuck up, you fucking trash nigga, work on another ring&#8221; http://t.co/6RleNKR7EE","['fuck', 'fucking', 'nigga', 'trash']"
0,"&#8220;@TP_Three: @WestSideFlee @KekePalmer damn they got wifey &#128561;&#128561;&#128534;&#128534;&#128555;&#128553;&#128553;&#128553;&#8221;

Fall back nigga &#128299;.. I don't share my hoes",['nigga']
0,&#8220;@_BitchBUH: Shoot that nigga and his shorty bitch &#128299;&#128514;&#8221; &#8252;&#65039;&#8252;&#65039;,"['bitch', 'nigga']"
0,&#8220;@_honeysays: My phone charging backwards &#128533;&#8221; retarded,['retard']
0,&#8220;@boojieque: &#128514;&#128169;RT @WebbMadeThis: Lemme find out you niggaz letting bitches shit on yo faces&#8221; &#128557; niggas is weirdos,"['shit', 'bitch', 'bitches', 'nigga', 'niggas']"
0,"&#8220;@iamkrause: No need to thank me, killing niggers is it's own reward.&#8221; 

Dis my pal from our graduation when we was 26","['nigger', 'niggers', 'kill']"
0,&#8220;@kaylendenise_: I hate that bitch &amp; the fact that oomf likes her.. just no &#128528;&#8221; retweeettt 1000x.,"['bitch', 'hate']"
0,&#8220;@kitty_hello14: @Im_Yung_Jay &#127850;&#127850;&#127850;&#127850;&#127850; bitch ass nigga fuck you ! &#128079;&#128079;&#128079;&#128079;&#128079;&#128077;&#128077;&#128077;&#128077;&#128077;&#8221; &lt;= these hoes ain't got no manners #RealTalk,"['fuck', 'bitch', 'nigga']"
0,&#8220;@medaOriginBitch: That one friend who you greet with an insult.&#8221; @MorbidMermaid @EvanBecker513 niggers,"['bitch', 'nigger', 'niggers']"
0,"&#8220;@rocafella123 ""@waymoflydenu: If fleek in yo vocabulary you a faggot""&#8221;","['fag', 'faggot']"
0,&#8220;@spannerhead29: @VertrellCarter #faggot&#8221; #Respect,"['fag', 'faggot']"
0,"&#8220;@thejanicexxx: o u unfollowed me so i can't dm u, so i'll say it here, you're a rude cunt lmao&#8221; you can dm me",['cunt']
0,&#8220;@ttevy_8: i want affection 24/7 but i also want to be left alone 24/7... do you see the issue here?&#8221;fag,['fag']
0,&#8220;@waymoflydenu Why yall think its ok to be faggots?&#8221; and want us to be cool with them,"['fag', 'faggot']"
0,' Don't sleep on ma niggah CHood &#128076; @CharleyHood &#128175;&#128175;,['nigga']
0,' Happppppy Birthdayyyy &#1041191;&#1041196;&#1043215; lol . Niggahs is really 21 in this bitch &#1043358;&#1041219; . http://t.co/YatU7pbsHX,"['bitch', 'nigga']"
0,"' If this ugly ass niggah can be with her , I can too . Tf she with Chuu Baka for anyways this niggah look like a... http://t.co/lVNDRDPpQT",['nigga']
0,' This niggah pharrell or whatever this niggah name is don't deserve shit for that white ass gay song .,"['shit', 'nigga', 'hate']"
0,"*goes to olive garden*
*Turns into a cracker*
""@gIacier: *goes black friday shopping*

*turns into a nigger*""",['nigger']
0,",@KiroGx me gusta ""typing like a retard to make the other person look dumber by pretending to agree with them"" bazinga","['retard', 'dumb']"
0,------&gt;RT @Maxin_Betha @HumbltonBanks ankle socks in general are for the faggots bro,"['fag', 'faggot']"
0,...aaaaaaaaand it begins. RT @RileydaKafka: Fucking niggers that's all Kentucky is and ever will be,"['fuck', 'fucking', 'nigger', 'niggers']"
0,"...you're white, aren't you? *rolls eyes* RT @DidntDoNuffin: @DreaaaLove RIP to my NIGGA Trayvon, a worthless spear chucker","['nigga', 'worthless']"
0,5000 white men in pick up trucks screaming nigger and my coach got the nerve to get mad I missed the free throw &#128514;&#128514;&#128514;,['nigger']
0,"8/16/14 MO @GovJayNixon let &#8220;kill some crackers, kill their babies"" New Black Panthers hijack his #Ferguson presser http://t.co/z2Wko9Ripz",['kill']
0,@2014samanthaKay good enough fag,['fag']
0,@AGreasyMonkey @Huntermoore faggot,"['fag', 'faggot']"
0,@AlfieHeydrich but I live in the South. Lot more here. My pop lives in Rhode Island. Hardly no niggers there.,"['nigger', 'niggers']"
0,"@Alicia112794 So basically you like the background music, fag.",['fag']
0,@AmericanWhiteHM I hate that nigger.,"['nigger', 'hate']"
0,"@AmericanWhiteHM Those niggers disgust me. They should have dealt with 100 years ago, we wouldn't be having these problems now.","['nigger', 'niggers']"
0,@AnUglyNigga this is retarded,"['nigga', 'retard']"
0,@AndreBerto can't wait for more PEDS is that it? Roid munching faggot,"['fag', 'faggot']"
0,@AnimeKing420 fight me 1 on 1 ur choice of game faggot see what happens,"['fag', 'faggot']"
0,@Anony386 @TurnToLive @Tweenki_ they are wrong you are a nigger always causung mischief among ur own people,['nigger']
0,"@AntonioFrench The ""You&#8217;re going 2have 2 KILL crackers &amp; their babies&#8221; New Black Panthers #CredibilityShot #FergusonRiot #Justice4MikeBrown",['kill']
0,@AtBlackface @MrMooncricket @UncleUnco @BobbyBotsods @FuckTheMallcops @RacistNegro69 ape? Fuck u broke ass racist,['fuck']
0,@AustinG1135 I do not like talking to you faggot and I did but in a nicely way fag,"['fag', 'faggot']"
0,"@AustinG1135 answer my snapchat faggot 
#butthurt","['fag', 'faggot']"
0,@AyeFuckWoody @coryburgess87 do i literally eat asshole for a living? is that what i actually do faggot? You seem a little confused..,"['fuck', 'asshole', 'fag', 'faggot']"
0,"@BGALLY17 so ur faggot teammate @BrandonPrust8 hits someone late like that and U say he's yapping and yelling, u guys def 69 in the room","['fag', 'faggot']"
0,@Barbod6FCB @_cblaze @ODDBEAST cracker jack shut the fuck up,['fuck']
0,@BeyondTomcat you'd like that wouldn't you fag,['fag']
0,@Bidenshairplugs He looks like a fag and his time line is boring Zzzzzz,['fag']
0,@BillionaireCrow @Neelahrelates your what's wrong with the white race you fuckin coon slaying piece of poop please die alone,"['fuck', 'die']"
0,@BloggerBoxing @rianscalia pass the Fosters faggot,"['fag', 'faggot']"
0,@BloggerBoxing yea....what did it do for Maidana? It made him a greedy faggot loser. Atleast Broner is black...,"['fag', 'faggot']"
0,@BossAce555 @Sounds_good_bro @BloggerBoxing yea u stupid faggot. I'm not leaving till like 5-6pm. Want a ride?,"['fag', 'faggot', 'stupid']"
0,@BreeOlson @Gingerbeard66 your a nasty nigger whore,"['nigger', 'whore']"
0,@Brenddan_ they said some bullshit. Damn niggers,"['shit', 'nigger', 'niggers']"
0,@Brenddan_ wow!!! Are you comin back up here? &#128514;&#128514;&#128514;&#128514; they some bitch niggas,"['bitch', 'nigga', 'niggas']"
0,@Briana_Rashae I'd like to rape the bitch that posted that.,['bitch']
0,"@Brice2254 Fuck you, faggot.","['fuck', 'fag', 'faggot']"
0,@Brizgotti These new nigga hipster hypebeasts love all these faggot ass bright colors and Nike keeps giving them what they want smh,"['nigga', 'fag', 'faggot']"
0,@Buckm00se @letsargueboxing sand nigger ran over some Kidd,['nigger']
0,@Buckm00se I don't like the sand nigger but it's entertaining like 6 knockdowns,['nigger']
0,@Buckm00se Joe Cortez is the ultimate faggot that fight proved it,"['fag', 'faggot']"
0,@Buckm00se true sand niggers &amp; bum Brits claim he's a ATG hall of fame legend smh,"['nigger', 'niggers']"
0,@CBSThisMorning @charlierose racist @NorahODonnell tx trash racist why wld u intvw @MittRomney n ask racist questions itwas so disrespectful,['trash']
0,"@CHARLESBARRKLEY hey Sir house nigger, uncle tom aren't you from grand ole Mississippi, I rest my case!",['nigger']
0,@Campos_uli is a fag #hesgay,['fag']
0,@ChaleCarlo5 fuck outta here and go put some more trash ass ink on your faggot ass self pussy,"['fuck', 'fag', 'faggot', 'pussy', 'trash']"
0,@ChaleCarlo5 stay talking defending your fuckboy ass boyfriend or what? go suck him off while youre at it faggot,"['fuck', 'fag', 'faggot']"
0,@ChandailBailey @SteeZeyFLOW @HunturPls you need to accept the fact that you're both hipster faggots.,"['fag', 'faggot']"
0,"@CharleeRedz13 your gay stfu, dumb monkey",['dumb']
0,@ChaseBasford chase you God damn faggot &#128514;&#128557;&#128514;&#128557;,"['fag', 'faggot']"
0,"@Cheesus85 @greyyygoose faaaaggggottttt, speaking with the blonde hair and confused, you're a hypocrite, cuz you're a faggot","['fag', 'faggot']"
0,"@Chris_Anzueto @Josh_Mackey15 you call someone a faggot and then say to kill themselves, you are a pathetic human being. A fucking disgrace.","['fuck', 'fucking', 'fag', 'faggot', 'kill']"
0,@Christian_ESEM you don't know what your talking about retarded faggot,"['retard', 'fag', 'faggot']"
0,@CrackerJhak Because you're a fag,['fag']
0,@DangItsTiff you look like fucking shrek bitch,"['fuck', 'fucking', 'bitch']"
0,@DanielSizelove @Conrad_MLG get on cunt,['cunt']
0,@DarienDaywalt bitch shut the fuck up goddam your a slut bitch whore nigga,"['fuck', 'bitch', 'nigga', 'whore', 'slut']"
0,@Darienbaby_xoxo jk I'd fuck a dog before I fuck you fish pussy,"['fuck', 'pussy']"
0,@DatBoyRayT because if you support lesbians you have to support faggots there's no difference.,"['fag', 'faggot']"
0,@DavetheBrave1 that hoe on some other shit bro rt and 100x better rn that a nigga high,"['shit', 'nigga']"
0,@DeezNutsDoe I'd hate feeling like a faggot too punk ass hoe,"['fag', 'faggot', 'hate']"
0,@DeezNutsDoe how about you wash my butthole out with your tongue you little faggot,"['fag', 'faggot']"
0,"@DefendWallSt Whatever! Fuck all those assholes. They're niggers, they all look alike to me.","['fuck', 'nigger', 'niggers', 'asshole', 'hate']"
0,"@DefendWallSt those little #ISIS faggots usually have bags over their heads anyway. 
Makes bullet placement interesting thru a scope.","['fag', 'faggot']"
0,@Derek_Kirchner7 @tori_mills02 fags&#128567;&#128567;,['fag']
0,"@DestroTheNoble @nekolin purple &amp; pink....for the faggots who want to be protected...by the police, instead of BEARING ARMS if need be!","['fag', 'faggot']"
0,@DevilFzyq @DevilElyie @TehDevilClan shut up fag,['fag']
0,@DjChubbESwagg this like a retarded wu-tang clan,['retard']
0,@DolanGang you wouldn't know fag,['fag']
0,@Drfreezeburnn @DaithiDeNogla I just learned how many retards you can find when you search trending topics.,['retard']
0,@Drfreezeburnn That's not bias. It's an objective fact that Philly fans are cunts.,['cunt']
0,@EleyCome_EleyGo @caykelly16 movies don't matter as long as you do coon shit with coons you're a nigga!,"['shit', 'nigga']"
0,"@EnglishBrit123 sounds like a good idea. But I want my word to be spread. Jews, niggers and commies alike.","['nigger', 'niggers']"
0,@EvanBecker513 @_TriggaPlease_ @MorbidMermaid @zooyorkinit @_ShayisdaBOMB_ @Rainbowblake because she's a nigger,['nigger']
0,@Fardousaa becuz no man should celebrate his bday at a drreams #faggot,"['fag', 'faggot']"
0,@Flow935 jus wanted to let y&#225;ll know hope the hurricane kills your soca sunday trash #LORDWILLIN,"['kill', 'trash']"
0,@FrankieJGrande ew queer white thirsty bitch,['bitch']
0,@FrankieJGrande fugly queer white trash,['trash']
0,@FrankieJGrande omg gtfo white faggot,"['fag', 'faggot']"
0,@FreddyAmazin ratchet looking nigger,['nigger']
0,@FuckBoiRik hahahaha youza fuck wigger,['fuck']
0,"@Fugazi3011 ""leave you beaner retard""",['retard']
0,@Garner_412 heyyyyyyyyyyy fag boy am I gonna watch you play?,['fag']
0,"@GoDaddy Hope you guys do get attacked for supporting SOPA, bunch of dirty snake faggots.","['fag', 'faggot']"
0,"@God_loves_biebs Go pray in a church or something fag, no one cares about your religious bullshit.","['shit', 'fag']"
0,"@Godsmack_Music @iTunesMusic @iTunes That band is white trash, and only white trash would buy that album.",['trash']
0,@GossipCop Julie tell them crybaby blacks to get someone blk. and dress them up white faced......niggers always whining!,"['nigger', 'niggers']"
0,@GrizzboAdams fucking block your white ass because you try to start shit like a fucking queer so fuck you NIGGA,"['fuck', 'fucking', 'shit', 'nigga']"
0,@GrizzboAdams ight nigga haha fucking queer has to clear his schedule,"['fuck', 'fucking', 'nigga']"
0,@GrizzboAdams roid rage much faggot?,"['fag', 'faggot']"
0,@Gutierrez_Alf legit retard,['retard']
0,"@HarveyLevinTMZ @sly309 they want what I got, I want what they got, America.they got the word nigger, I want it to",['nigger']
0,@HeauxmerSimpson I'm jus tryna vaca away from the niggers bro.,"['nigger', 'niggers']"
0,"@HeilSidious Sion is a faggot. Very meh ganks pre-6 and post-6 his ganks are still pretty meh he's just a tank, nothing special imo Mao +","['fag', 'faggot']"
0,@Herfarm @SteveWorks4You @TheDemocrats your low info redneck dumbasses vote for these corporate shills that idiots like you believe #dummies,"['dumb', 'idiot']"
0,@Hovaa_ #niggerfood #niggerperson #you #are #a #nigger,['nigger']
0,@Hovaa_ shut up lizard faggot nigger cunt,"['nigger', 'cunt', 'fag', 'faggot']"
0,@HuffingtonPost if the faggots can have a page y cant they?faggots offend me more than them,"['fag', 'faggot']"
0,"@HuffingtonPost im American, don't give 2 shits about the beaners, ship them beaners back",['shit']
0,@HuffingtonPost y don't that bitch just shoot herself? so sick of all those whores!,"['bitch', 'whore']"
0,@Hunglikerobby_ that was so gay. And I was tanning bitch. Juvie made me white,['bitch']
0,@Huntermoore happy cuz I woke up white and not a nigger!,['nigger']
0,@Huntermoore nigger!!,['nigger']
0,@IGGYAZALEA it was a joke you fugly bitch be happy uncle snoop even acknowledged your nasty ass lmao,['bitch']
0,"@IWantHis_Heart Ok u fat precious lookin ass bitch, u big fat back at the barnyard lookin ass bitch. I can fix my grammar but u still fat",['bitch']
0,@IamShady_ that's not even a real word! Must have hit a blunt and started making up shit with your nigger ass lol,"['shit', 'nigger']"
0,@Iemonaids done that spell check we know you meant fat liberal Dyke feminist Nazi bitches,"['bitch', 'bitches']"
0,@Im_Thirst randies are fags,"['fag', 'die']"
0,@ImpactParasite just fuckin roasted this faggot,"['fuck', 'fag', 'faggot']"
0,@ItsKeeshKapeesh *yourself *faggot buy a dictionary,"['fag', 'faggot']"
0,@ItsYOUR_man nothin much cousin touching white trash wigger wannabe bitch boy dick sucking fucking gay bitch,"['fuck', 'fucking', 'bitch', 'dick', 'trash']"
0,@JMC2488 @jetsgreen @TB12FAN and fuck you too ya little bitch you look like a Mexican sucking a cock in ur profile,"['fuck', 'bitch', 'cock']"
0,"@JPantsdotcom @Todd__Kincannon @the__realtony I'm partial, faggot..homo...both fairly describes the same sick twisted Assholes out there.","['asshole', 'fag', 'faggot']"
0,@JRise88 @G_Anderson4 what do you want fag,['fag']
0,@JRise88 @LongLiveTylerD your a fag,['fag']
0,@JRise88 shut up you stupid bitch,"['bitch', 'stupid']"
0,@JacobbBacker fag,['fag']
0,@JacobbBacker you don't know shit about me faggot bitch,"['shit', 'bitch', 'fag', 'faggot']"
0,@JadeGreenleaf fag,['fag']
0,@JaiBrooks1 faggot,"['fag', 'faggot']"
0,@JaiBrooks1 not funny u faggot,"['fag', 'faggot']"
0,"@JasonMoriarty13 I remember his nephew Lucas crying and dan saying ""quit being such a pussy and grow a pair"" or something. &#128514;&#128557; dans so funny.",['pussy']
0,@Jaytwofly @G_MUCKA good leave you stupid faggot,"['fag', 'faggot', 'stupid']"
0,"@Jaytwofly huh, lol mad nigger is mad",['nigger']
0,@JewelsAndDrugs9 @ladygaga @madonna lmao madonnas music sucks? yeah you're fucking stupid if you think gaga is better. retard,"['fuck', 'fucking', 'retard', 'stupid']"
0,@JimBoberson happy birthday faggot,"['fag', 'faggot']"
0,"@JizzAtTheScene and how am I assume shit 
,hmm cuz u don't know what fuck u talking about crackers these days.","['fuck', 'shit']"
0,@Joey_D26 sweet comeback u fuckin herb I dnt watch soccer but id still wax your bitch ass in it go swallow the red soxs kids ur from NYC fag,"['fuck', 'bitch', 'fag']"
0,"@JuanYeeze damn took this dumb spic nearly 2 days to respond, wuz really good tho beaner?",['dumb']
0,"@JuanYeeze shut yo beaner ass up spic and hop your faggot ass back across the border little nigga, go listen to some pitbull","['nigga', 'fag', 'faggot']"
0,@JungleFeverFren fuck u nigger,"['fuck', 'nigger']"
0,@KLSouth @Miss_Didi23 is an evil hate whitey racist who thinks Delbert Belton deserved it. @MaryForbes14 @EnemiesofDonnaJ @StephAnnAnson,['hate']
0,@KamRenee ugly nigger,['nigger']
0,"@Ken_GTH nahh , whatever you are spook or spic, I still don't like you . Good day",['hate']
0,@Kenny__Wright @itsfrankybitch @yoPapi_chulo so if your 17 and in high school you dont have your own house you fucking faggot,"['fuck', 'fucking', 'bitch', 'fag', 'faggot']"
0,@Kevin_McAdams Because Ian's retarded,['retard']
0,@King_Albert21 @Ceto_13 u pulled.that queer shit as spon as u put no homo lol,['shit']
0,"@KuntaKayne I have never seen such ignorant, illiterate pieces of shit in my life. Bring in Natl Guard &amp; disperse this trash. @bassem_masri","['shit', 'trash']"
0,@L1LTR4P fucking losers wetbacks #SorryNotSorry,"['fuck', 'fucking']"
0,@Legionary1488 @JomavaesJos now we have a Ebloa case in Texas. If we kill all the niggers we might be safe.,"['nigger', 'niggers', 'kill']"
0,@LexVan13 go back to nigeria faggot,"['fag', 'faggot']"
0,"@LobstrThinkTank Yeah! Me too. My people, the women, laff at the set apart men... they love the real niggas or niggers.","['nigger', 'niggers', 'nigga', 'niggas']"
0,"@LokiHulibele @mediacrooks @AamAadmiParty They have mix, not all are retards. AAP is Maoists, terrorists,Congies and delusional Retards",['retard']
0,@Lovelesslovely @Kwitchabichen25 hey aklve! Im taking out the black ghetto trash. Youre blocked nigger,"['nigger', 'trash']"
0,@MakeAnothaHov T.o. was a faggot crybaby,"['fag', 'faggot']"
0,@MarianCristinax you a fag b,['fag']
0,@MarkHalperin @WSJopinion @BarackObama Anything to trash this black President!!,['trash']
0,@MattHomeTeam - you know what you did you faggot. There are literally thousands of people that have you on their radar homo,"['fag', 'faggot']"
0,@Matt_Petrie22 geta Life faggot,"['fag', 'faggot']"
0,@Maxwell_Larsen your a cunt,['cunt']
0,@MenachemDreyfus @NatlFascist88 @waspnse Shit your ass and shabbat your moms pussy u Jew bastard. Ur times coming. Heil Hitler!,"['shit', 'bastard', 'pussy']"
0,@MillerLite I don't follow you because everything about your company is white trash.,['trash']
0,"@Misplaced_Momma 
She be what we say in da hood white trash",['trash']
0,@Montea_Rollin @kayysavage I wasn't serious bitch &#128514; bitch them niggas i named ain't fuccing witcho ass &#128514;&#128557; we all just making shit up &#128527;&#128553;,"['shit', 'bitch', 'nigga', 'niggas']"
0,@MorbidMermaid I swear to god nigger you better still hang with me before work. You got my hype,['nigger']
0,@MrMooncricket @AtBlackface @UncleUnco @BobbyBotsods @FuckTheMallcops @RacistNegro69 ugly gay nigga bitch fucking peace of shit,"['fuck', 'fucking', 'shit', 'bitch', 'nigga']"
0,@MrMooncricket @FuckTheMallcops @AtBlackface @UncleUnco @BobbyBotsods @RacistNegro69 y'all is coons n uncle toms,['fuck']
0,"@MrMooncricket @RacistNegro69 fuck you, stupid ass coward ass punk bitch faggot ass racist piece of shit. Punk. Bitch, ain't worth my time!","['fuck', 'shit', 'bitch', 'fag', 'faggot', 'stupid']"
0,"@MyNameShouldBe only one problem theres a ""no pussies allowed"" sorry @kerrythekilla...",['kill']
0,@NOT_UR_BRO @niccol3_xo lmao nigga shoulda said I would be balless bc dat cold bitch wont stop blowin me#swaagg,"['bitch', 'nigga']"
0,"@NYRKelsMads @DaniloNavarro85 Hey fag, I said this was your aunts. *He* said it was you.",['fag']
0,@Newser big fucking deal...cry baby niggers,"['fuck', 'fucking', 'nigger', 'niggers']"
0,@NotoriousBM95 @gezus__ @Rodriguez5_ your getting blocked faggot,"['fag', 'faggot']"
0,@OG_HARM @moetzart @duckydynamo look at this nigger ass nigger shit right here,"['shit', 'nigger']"
0,@OVOtilUOverDose @flossinlawson11 niggers*,"['nigger', 'niggers']"
0,@OfficialSkai dont tell me what to do. fuck balls kike nigger cunt tits cocksucker chink spic piss bitch bastard pussy faggot.,"['fuck', 'bitch', 'nigger', 'cunt', 'bastard', 'fag', 'faggot', 'pussy', 'cock']"
0,@OfficialSkaiS kill yourself ugly ass monkey looking shit,"['shit', 'kill']"
0,@Oskzilla fuck you fag!,"['fuck', 'fag']"
0,@Oskzilla fuck you niggah you gay. Lol,"['fuck', 'nigga']"
0,@PablyAndrew it was Paul McCartney faggot,"['fag', 'faggot']"
0,"@PatDollard Fuckin muzzie cunts, should all be deported, savages","['fuck', 'cunt']"
0,@PaulMoon8 @yurista4life @justinmiculka01 you fuckin Yankees I'll be there in 2 months I'll meet you pussy,"['fuck', 'pussy']"
0,@Pecan_B19 @ObeyMy_Realness dryer then them bad ass eyes of your fag,['fag']
0,@Po0pdogg back up faggot,"['fag', 'faggot']"
0,@PrayForJack new york niggas quick to take off on a bitch in public boy lol!!!!!,"['bitch', 'nigga', 'niggas']"
0,@Princesslexii16 Fucking coon,"['fuck', 'fucking']"
0,"@ProperEtacet fuck your mother, faggot","['fuck', 'fag', 'faggot']"
0,@Prophzilla I don't hate that he blew up from 3005 like a hipster but I hate the faggots who say they love his music based off his worst +,"['fag', 'faggot', 'hate']"
0,@QUAN1T0 You retarded bruh lol,['retard']
0,@Qui_ThePharaoh @zApollo0803 @MildlyDarkSkin hes a lying faggot. he used inspect element to change the number of dollars in his account.,"['fag', 'faggot']"
0,@RSBerto Dumb Haitian fake black faggots. Go to Haiti and neck yourself.,"['fag', 'faggot', 'dumb']"
0,@RabehChararah1 lmaoo what a fag,['fag']
0,@RedNationBlogga fuck those faggots,"['fuck', 'fag', 'faggot']"
0,@RepulsiveTool And the only band that sucked worse live is those fags Guns &amp; Poses.,['fag']
